position,season,games_played_season,fantasy_points,player_type,points_per_game
QB,2021,5.0,149.42,offensive,29.88
RB,2021,11.0,53.0,offensive,4.82
WR,2021,10.0,13.9,offensive,1.39
WR,2021,15.0,253.4,offensive,16.89
TE,2021,7.0,31.3,offensive,4.47
RB,2021,4.0,53.300000000000004,offensive,13.32
QB,2021,5.0,12.86,offensive,2.57
WR,2021,16.0,47.0,offensive,2.94
WR,2021,7.0,45.7,offensive,6.53
TE,2021,14.0,83.9,offensive,5.99
TE,2021,5.0,28.3,offensive,5.66
WR,2021,6.0,8.0,offensive,1.33
RB,2021,11.0,59.800000000000004,offensive,5.44
QB,2021,4.0,12.12,offensive,3.03
WR,2021,15.0,101.0,offensive,6.73
WR,2021,4.0,5.5,offensive,1.38
RB,2021,11.0,106.9,offensive,9.72
WR,2021,17.0,131.5,offensive,7.74
TE,2021,11.0,32.5,offensive,2.95
RB,2021,9.0,35.900000000000006,offensive,3.99
RB,2021,8.0,179.3,offensive,22.41
WR,2021,14.0,80.4,offensive,5.74
WR,2021,13.0,23.0,offensive,1.77
RB,2021,4.0,21.4,offensive,5.35
WR,2021,7.0,51.2,offensive,7.31
WR,2021,7.0,-2.7,offensive,-0.39
RB,2021,11.0,36.9,offensive,3.35
QB,2021,17.0,464.02,offensive,27.3
WR,2021,8.0,57.6,offensive,7.2
RB,2021,16.0,116.10000000000001,offensive,7.26
RB,2021,4.0,5.200000000000001,offensive,1.3
WR,2021,12.0,43.5,offensive,3.62
WR,2021,5.0,8.600000000000001,offensive,1.72
WR,2021,16.0,166.84,offensive,10.43
RB,2021,5.0,7.6,offensive,1.52
WR,2021,17.0,285.5,offensive,16.79
RB,2021,17.0,219.66000000000003,offensive,12.92
QB,2021,16.0,593.0600000000001,offensive,37.07
TE,2021,16.0,218.3,offensive,13.64
QB,2021,14.0,332.5,offensive,23.75
TE,2021,14.0,135.9,offensive,9.71
WR,2021,7.0,5.2,offensive,0.74
RB,2021,12.0,84.5,offensive,7.04
QB,2021,10.0,104.32,offensive,10.43
TE,2021,17.0,99.6,offensive,5.86
WR,2021,14.0,89.0,offensive,6.36
QB,2021,5.0,15.780000000000001,offensive,3.16
RB,2021,5.0,75.8,offensive,15.16
TE,2021,12.0,135.9,offensive,11.32
RB,2021,15.0,247.0,offensive,16.47
RB,2021,4.0,19.7,offensive,4.92
WR,2021,17.0,191.5,offensive,11.26
RB,2021,7.0,59.7,offensive,8.53
QB,2021,10.0,100.26,offensive,10.03
WR,2021,15.0,149.9,offensive,9.99
TE,2021,5.0,18.1,offensive,3.62
TE,2021,12.0,13.100000000000001,offensive,1.09
TE,2021,15.0,59.1,offensive,3.94
WR,2021,7.0,15.0,offensive,2.14
WR,2021,11.0,46.5,offensive,4.23
WR,2021,7.0,51.8,offensive,7.4
WR,2021,5.0,0.40000000000000036,offensive,0.08
RB,2021,14.0,54.7,offensive,3.91
WR,2021,14.0,222.4,offensive,15.89
RB,2021,15.0,251.79999999999998,offensive,16.79
WR,2021,13.0,92.3,offensive,7.1
WR,2021,7.0,58.0,offensive,8.29
TE,2021,7.0,20.7,offensive,2.96
WR,2021,9.0,18.400000000000002,offensive,2.04
RB,2021,4.0,42.1,offensive,10.52
TE,2021,11.0,63.1,offensive,5.74
TE,2021,6.0,43.0,offensive,7.17
QB,2021,4.0,48.08,offensive,12.02
WR,2021,13.0,52.2,offensive,4.02
RB,2021,14.0,308.70000000000005,offensive,22.05
